Date,Value
2022-09-19T00:01:44.099322Z,-90.7
2022-09-19T00:06:32.813667Z,-90.4
2022-09-19T00:11:55.676804Z,-90.3
2022-09-19T00:16:52.045846Z,-89.9
2022-09-19T00:26:45.102774Z,-90.0
2022-09-19T00:31:36.229463Z,-89.4
2022-09-19T00:36:53.769159Z,-89.1
2022-09-19T00:41:35.026210Z,-89.6
2022-09-19T00:46:52.969823Z,-89.4
2022-09-19T00:51:53.246620Z,-89.6
2022-09-19T00:56:37.535516Z,-90.2
2022-09-19T01:01:46.517503Z,-88.0
2022-09-19T01:06:51.100065Z,-90.0
2022-09-19T01:11:42.619537Z,-90.2
2022-09-19T01:16:43.117927Z,-90.5
2022-09-19T01:21:46.274835Z,-90.7
2022-09-19T01:27:25.552538Z,-90.1
2022-09-19T01:31:47.501264Z,-90.2
2022-09-19T01:36:44.118312Z,-90.3
2022-09-19T01:41:50.887927Z,-84.6
2022-09-19T01:46:48.903936Z,-90.8
2022-09-19T01:52:03.129982Z,-90.7
2022-09-19T01:56:59.373075Z,-89.9
2022-09-19T02:01:54.160427Z,-90.6
2022-09-19T02:06:51.222611Z,-89.4
2022-09-19T02:11:46.955671Z,-89.1
2022-09-19T02:16:50.765934Z,-91.2
2022-09-19T02:21:43.909527Z,-90.7
2022-09-19T02:26:53.608651Z,-86.0
2022-09-19T02:31:53.891688Z,-90.3
2022-09-19T02:36:48.088750Z,-90.8
2022-09-19T02:41:36.014596Z,-91.1
2022-09-19T02:46:52.157507Z,-91.1
2022-09-19T02:51:54.134717Z,-91.1
2022-09-19T02:56:54.069751Z,-91.3
2022-09-19T03:02:02.805878Z,-92.9
2022-09-19T03:07:19.870905Z,-92.1
2022-09-19T03:11:53.939573Z,-93.1
2022-09-19T03:16:52.410331Z,-92.7
2022-09-19T03:21:47.175474Z,-93.6
2022-09-19T03:26:52.703774Z,-95.8
2022-09-19T03:31:52.820393Z,-100.0
2022-09-19T03:36:43.493022Z,-103.2
2022-09-19T03:41:44.509436Z,-102.0
2022-09-19T03:47:00.391462Z,-98.6
2022-09-19T03:51:40.193067Z,-95.0
2022-09-19T03:56:42.280764Z,-94.9
2022-09-19T04:02:04.732965Z,-94.9
2022-09-19T04:06:54.492896Z,-94.1
2022-09-19T04:11:51.229117Z,-94.6
2022-09-19T04:16:51.613001Z,-94.3
2022-09-19T04:21:58.810668Z,-93.4
2022-09-19T04:26:57.636894Z,-94.5
2022-09-19T04:31:53.715911Z,-95.0
2022-09-19T04:36:52.782291Z,-92.9
2022-09-19T04:41:52.144231Z,-94.9
2022-09-19T04:46:56.955827Z,-95.2
2022-09-19T04:51:51.724221Z,-95.4
2022-09-19T04:56:47.812544Z,-94.2
2022-09-19T05:01:53.044925Z,-95.9
2022-09-19T05:06:56.040612Z,-96.4
2022-09-19T05:11:40.160199Z,-96.6
2022-09-19T05:17:18.548863Z,-96.9
2022-09-19T05:21:39.983974Z,-96.8
2022-09-19T05:26:53.612595Z,-97.2
2022-09-19T05:31:55.163267Z,-96.5
2022-09-19T05:36:52.711069Z,-94.9
